Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brunei,0,,,,,1.0170801663,3.3033499272,4.8310579051,6.284742844,7.6710412058,8.9962845345,12.9177690823,15.3298798557,19.5950032207,29.7156041448,36.4663919476,42.1863491609,44.68,46,49,53,56
Bulgaria,0,,,0.0023606269,0.0195414232,0.1189616975,0.7174621209,1.2030745916,1.8166984591,2.8572977833,5.2631036286,7.5434658243,9.1079238398,12.0654848786,18.1486841617,19.9679745927,27.0565730184,33.5544437296,39.5031011433,44.7481170727,45.984825955,50.7962660514
Burkina Faso,0,,,,,,0.0009605186,0.0186863531,0.0454234841,0.0617802927,0.0770801689,0.1577324647,0.2009925979,0.3734403032,0.4002952855,0.4699144887,0.6327075645,0.75,0.92,1.13,2.4,3
Burundi,0,0,0,0,0,0,0.0008035921,0.0079794386,0.0158427763,0.0392044692,0.0772484474,0.1060012454,0.1182284123,0.2012731967,0.3490604619,0.5421428658,0.6575925904,0.7,0.81,0.9,1,1.11
Cambodia,0,,,,,,,0.0058449106,0.0163249861,0.0319695777,0.0470226401,0.0769560556,0.2269832377,0.2605701976,0.3004366444,0.3173217811,0.4683567201,0.49,0.51,0.53,1.26,3.1
Cameroon,0,,,,,,,0.0067687443,0.0132163405,0.1290675809,0.2521200777,0.2770513218,0.3608715843,0.5876226111,0.9760754155,1.4026542258,2.0287447915,2.93,3.4,3.84,4.3,5
Canada,0.3598287215,0.5679571837,0.9116954166,1.1792622898,2.3702881269,4.1561627035,6.7398080377,15.0035186617,24.7871625997,36.0495484853,51.1293845731,59.9779166396,61.4356473674,64.0633186135,65.8500154498,71.5966011259,72.515356123,73.3058129806,76.7203863622,80.1708665096,80.0421359161,82.6793444635
Cape Verde,0,,,,,,,0.2409679199,0.4727350084,1.1599824611,1.8224438516,2.6853327127,3.518757175,4.3248853905,5.3188320696,6.0740871066,6.8089110075,8.2832198195,20,25,30,32
Cayman Islands,0,,,0,0,3.9489671932,,,,,,,,,,38.0343830823,44.5,52,61,64.5,66,69.46594499
Central African Republic,0,,,,,,0.0058495028,0.0142708807,0.0278782013,0.0408942872,0.0533941742,0.0785434278,0.1285371165,0.1515633379,0.2234013955,0.2681956092,0.3111591732,0.375815961,1,1.8,2,2.2
Chad,0,,,,,,,0.0006581683,0.0042685045,0.0123217277,0.0357070763,0.0459341344,0.1660696647,0.3203085554,0.360920107,0.3992577001,0.5810457642,0.8472245207,1.19,1.5,1.7,1.9
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,0.0365489382,0.0717831443,0.1410845067,0.3469807814,0.6834756102,1.057092496,1.6623220218,4.1034192972,16.6,19.1,22.1,25.4737788865,28.1779101232,31.1753470304,34.4977511736,35.9,37.3,38.8,45,53.8938
China,0,,,0.0001701471,0.0011776093,0.0049922613,0.0131739252,0.0325996172,0.1695018079,0.7119992809,1.7850157203,2.6522141633,4.6155666067,6.2240447491,7.3252169652,8.5485804941,10.5517388933,16.0436691821,22.6617699268,28.9765993916,34.3899954879,38.3978870416
Christmas Island,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,,,,0.1071739453,0.1880467904,0.3300177727,0.5505210232,1.1262252446,1.6977307936,2.2075329926,2.8541999713,4.6,7.3889237105,9.118690303,11.0072638905,15.3416745366,21.8,25.6,30,36.5,40.4
Comoros,0,,,,,,,0,0.0378709698,0.1481629644,0.2717406073,0.4430683725,0.554869675,0.8481893702,1.3273271779,2,2.2,2.5,3,3.5,5.1,5.5
"Congo, Dem. Rep.",0,,,,,,0.0001082067,0.0002112132,0.0004130652,0.0010090761,0.0059021137,0.0114757819,0.0927907025,0.1349148374,0.1962083752,0.2380377987,0.2960536103,0.37,0.44,0.56,0.72,1.2
"Congo, Rep.",0,,,,,,0.0035268604,0.0034691036,0.0034151431,0.0167910492,0.0263547321,0.0322236164,0.1572495172,0.4600141868,1.0775049296,1.4634200595,2.0079900794,2.7597043737,4.2875099028,4.5,5,5.6
Cook Is,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,,0.0011133254,0.0815097538,0.2799124787,0.4168292061,0.8410570405,1.6402212877,2.6663786978,3.9043232571,5.8002530233,9.559482135,19.8948511346,20.3336148144,20.7923067056,22.07,25.1,28.4,32.29,34.33,36.5,42.12
Cote d'Ivoire,0,,,,,0.0002002556,0.0084097798,0.0188283613,0.0609744386,0.1186859167,0.2314616706,0.3957477022,0.4979293608,0.7586696295,0.8492824147,1.0392382051,1.5249007912,1.8,1.9,2,2.1,2.2
Croatia,0,,,0.0969822558,0.2688159925,0.5140286999,0.890081964,1.7498070021,3.332664752,4.3918567033,6.7642877501,11.6669217883,17.864052,22.8349896959,30.9832676323,33.1398955516,37.9268878784,41.346535798,50.4218272891,56.0395839422,60.1197070167,70.5264460177
Cuba,0,,,,,0.000091658,0.0319490014,0.0682202138,0.2266991989,0.3146905412,0.5411825488,1.0797517219,3.7705850377,5.2412690537,8.407984759,9.7380622078,11.1596013148,11.69,12.94,14.33,15.9,23.23
Cyprus,0,,0.0500604301,0.0563674822,0.1110346206,0.4101206848,0.6733435412,4.378272095,8.8905391589,11.3423986595,15.255394371,18.8187590408,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,57.68
Czech Republic,0,,,0.5807605995,1.2578742447,1.4524616517,1.9393953296,2.913393387,3.8899772664,6.817171538,9.7525049645,14.6816802374,23.9408970418,34.2729998309,35.450131196,35.2176592123,47.8817485759,51.8263074357,62.6862273271,64.1385247824,68.6444662784,72.8889967959
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,
Denmark,0.0972790652,0.1940843753,0.3869640795,0.578635602,1.3458288874,3.8256498414,5.7064518566,11.3660270294,22.6492152465,30.5845044465,39.1715871938,42.9356562983,64.1851755073,76.1738877196,80.8664632198,82.7401832074,86.7356098058,85.1497579758,85.0771224007,86.8679713385,88.7593249722,89.9772981701
Djibouti,0,,,,,0.0160308305,0.0311662407,0.0829414976,0.094696004,0.1057619088,0.1945005284,0.343526263,0.4869717045,0.6259402294,0.7813171751,0.9536114493,1.2700411592,1.62,2.26,4,6.5,7
Dominica,0,,,,,0.5487627365,1.1655181457,,2.9253451907,2.9321643771,8.8148441976,13.2452280387,18.4248927671,23.620419853,30.3196130922,38.5436432638,39.3981743035,40.2744630072,41.16,42.02,47.45,51.3135
Dominican Republic,0,,,,,0.0172336008,0.0749870526,0.1426875655,0.233914189,1.1047438738,3.7046923559,4.4293906967,6.8237257326,7.8983929372,8.8655534607,11.4831977789,14.8449283655,17.66,20.82,27.72,31.4,35.5
East Germany,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,,0.0051180354,0.0164007513,0.0348335861,0.0438336412,0.0861612756,0.1102179594,0.125272771,0.8233716344,1.4621885356,2.6704436738,4.2607969152,4.4602283447,4.8344426376,5.994255161,7.2,10.8,18.8,24.6,29.03,31.4
Egypt,0,,,0.0009757914,0.0063832696,0.0313196382,0.0614668989,0.0904802447,0.1479873769,0.2904452783,0.6412650375,0.8389456115,2.7199997147,4.0378851071,5.1506662321,11.6983982082,12.5527999698,16.05,18.01,24.28,30.2,35.62
El Salvador,0,,,,,,0.0863895807,0.2569606794,0.4252536723,0.8454287414,1.1773972691,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,17.68859598
Equatorial Guinea,0,,,,,,,0.0414622921,0.0944237739,0.0974159447,0.1323546651,0.1652604229,0.3211979972,0.520524272,0.8439302846,1.1497896706,1.2791935964,1.5571230594,1.82,2.13,6,
Eritrea,0,,,0,0,0,0,0.009017718,0.0087742363,0.0254950285,0.1367119411,0.1578152893,0.2270901376,0.7256232317,1.1610256687,1.7884600509,2.1593832111,2.5098464413,4.06,4.93,5.4,6.2
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,,0.0652528161,0.3013625665,1.1633209289,2.7868529432,3.5354031227,5.7211708005,10.8291981388,14.5463082732,28.6027030437,31.4979522684,41.4588802365,45.2663615939,53.1668409312,61.4390438802,63.5332097649,66.2492500924,70.6573883305,72.5734590243,74.154130735,76.5306570896
Ethiopia,0,,,,,1.7549122539E-005,0.0017034483,0.0049667205,0.0096635174,0.0125415989,0.0152637672,0.0371623811,0.0724022619,0.1058116588,0.1553345208,0.219659819,0.3105926569,0.37,0.45,0.54,0.75,1.1
Faeroe Islands,0,,,,,0,2.3187868107,4.6012975659,11.3378684807,22.2975383518,32.9163923634,43.2469835229,53.2992218314,58.9126409695,66.5335994677,67.9026317414,69.3594451244,75.98,75.57,75.18,75.2,80.7321728
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,
Fiji,0,,,0.0066784474,0.0079073991,0.0091153429,0.0644371416,0.2234548417,0.6331678655,0.9424620628,1.496854734,1.8579785936,6.1526497001,6.7254347382,7.4129434854,8.4536366337,9.6000384002,10.8978310455,13,17,20,28
Finland,0.4010884739,1.3961627857,1.8841755626,2.5658997051,4.9132004529,13.9003365448,16.7820530186,19.4564945694,25.4403061283,32.2733412113,37.2280320398,43.0818664788,62.3904695479,69.1878797755,72.3608538759,74.4550980691,79.6549780148,80.8061338433,83.716217393,82.5313309762,86.9093436232,89.3330044366
