Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Macao, China",0,,,,0.0369933757,0.2800140857,0.7272735981,2.3641276724,7.0033242446,9.212005085,13.6085897418,22.5212167701,25.1718801643,25.7421239826,31.4840973824,34.8629271734,46.4,47.327,49.24,54,53.8,58
"Macedonia, FYR",0,,,,,0.0407438399,0.0759957341,0.5039850095,1.0028616658,1.4973302601,2.4855663164,3.4681846085,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7
Madagascar,0,,,,,,0.0036951957,0.014333647,0.0625610231,0.1686087813,0.196394691,0.2225115862,0.3397201546,0.4232524193,0.5253536549,0.5677218022,0.6075522389,0.65,1.65,1.63,1.7,1.9
Malawi,0,,,,,,,0.004668518,0.0180573652,0.0872787549,0.1267809448,0.1640207253,0.2150947265,0.2788151163,0.347505335,0.3844893341,0.4251374896,0.9658647366,0.7,1.07,2.26,3.33
Malaysia,0,,0.0010478224,0.0255384775,0.0996074173,0.1456738367,0.8520444665,2.307393234,6.751770483,12.3055021988,21.3847311645,26.6959725007,32.3382043389,34.9711523397,42.2522656295,48.629170246,51.6379889864,55.7,55.8,55.9,56.3,61
Maldives,0,0,0,0,0,0,0.2269300897,0.3094442381,0.5696274636,1.1199086155,2.2038729394,3.6172906493,5.3477651689,5.9765928499,6.5882548753,6.869605067,11.0363527829,16.3,23.2,24.8,28.3,34
Mali,0,,,,,,0.0020552281,0.0100859189,0.0197938882,0.0609098734,0.142545755,0.1858974133,0.2270455785,0.3103644432,0.4328196399,0.507063136,0.7296272808,0.81,1.57,1.8,1.9,2
Malta,0,,,,,0.2348007256,1.0983357641,4.0905269982,6.7748041042,8.08664803,13.6658514748,18.1834331301,29.3783010286,32.132561631,35.1303255181,41.7973731976,40.8749444893,47.3079457279,50.3226500303,59.0347355377,63.0787509465,69.0308427208
Marshall Islands,0,0,0,0,0,0,0.0370594316,,,0.9660715666,1.5342717962,1.7066140777,2.3354445752,2.5697503671,3.5997768138,3.8787023977,3.7955902143,3.71082549,3.6267721728,3.5460421334,,
Martinique,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,,,,,,,0.0041725273,0.0405947949,0.1184644636,0.1920314624,0.261448552,0.3632294146,0.4240048958,0.4814704382,0.6699664749,0.9796612527,1.4336131959,1.87,2.28,4,4.5
Mauritius,0,,,,,,0.1864352786,0.4814711917,2.5940846783,4.6886426667,7.3376954392,8.8423618068,10.343604097,12.2945746242,13.8254149901,15.3368438338,16.8864505252,20.4645998145,22.0727725343,22.8026579647,28.7335882223,35.5082538329
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,0.0058806949,0.0173078099,0.0283050416,0.0433391668,0.1025641899,0.2004062803,0.6273115396,1.2657832782,1.8574362213,5.0813841534,7.0380231165,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,36.15
"Micronesia, Fed. Sts.",0,,,,,,0.2780377946,0.570676845,1.8587187851,2.7975940691,3.7348621369,4.6605271988,5.5700997048,9.2325021004,11.0178673082,11.8813690993,12.7503392501,13.6211327334,14.49,15.35,20,
Moldova,0,,,,0.0009744396,0.0040815227,0.0054541516,0.0328075083,0.3014120741,0.6863606636,1.4475021793,1.6552757956,4.1486640618,7.9888928676,11.2899706207,15.3289637774,20.3289734876,20.9910562319,23.8155411056,27.7872936219,32.3981405995,37.8490677157
Monaco,0,,,,,,,,,,42.184863446,46.646142364,48.047117173,49.4911689195,52.4901966839,55.4648260561,61.4760397135,64.3776824034,67.25,70.1,75,
Mongolia,0,,,,,0.0088112248,0.0181607493,0.1127425537,0.1458105415,0.5084715599,1.2556520036,1.6532382391,2.0395726035,,,,,,12.49,12.6,12.9,20
Montenegro,,,,,,,,,,,,,,,25.3500686036,27.1,28.9,30.8,32.9,35.1,37.5,40
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,,,,,0.0037104918,0.0056754442,0.0216352031,0.1423007672,0.1755953446,0.6937912448,1.371438101,2.3732531924,3.3533666812,11.607934773,15.084444524,19.7711915653,21.5,33.1,41.3,49,51
Mozambique,0,,,,,,0.0030429788,0.0118426108,0.0201970552,0.056250629,0.10959253,0.1600319466,0.2596126113,0.4195388439,0.6794478354,0.8543571181,0.842954488,0.91,1.56,2.68,4.17,4.3
Myanmar,0,,,,,,,,,0.0001517094,,0.0002892774,0.0004264935,0.0240641491,0.024337392,0.0652388555,0.1820483311,0.2171284451,0.22,0.22,0.25,0.98
Namibia,0,,,,,0.0061720509,0.0090321454,0.0587506786,0.2867450934,0.3362177077,1.6447395473,2.4169794417,2.6336997688,3.3598398855,3.8047156153,4.0100466444,4.3988706473,4.8356107783,5.3290037721,6.5,11.6,12
Nauru,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,0,0,0,0.0009248776,0.0045104728,0.0219988576,0.0643935956,0.1466688692,0.2046516837,0.2400153034,0.3129560601,0.382810917,0.4498436512,0.8265512659,1.1413891639,1.41,1.73,1.97,7.93,9
Netherlands,0.3330497306,0.5288471825,1.3129267112,1.9570845198,3.2440266295,6.4577312089,9.6407586611,14.0611567673,22.2204554809,39.0854361535,43.8112146573,49.0877255636,60.8991070646,64.0026037204,68.281435052,80.9284742377,83.8631284794,86.1436881175,87.7265569846,89.7865912669,90.7068632474,92.1272194418
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,,,,,0.0051187965,0.2505645459,0.97854581,1.9238410334,5.6520957999,13.8568515984,18.1187872561,22.2129959557,26.1463978594,29.9279925297,31.9016401051,33.0261746163,34.547674505,34.3580900875,34.1726972881,42.6580566802,51.1678714859
New Zealand,0,,0.2836276895,0.6298602386,3.1717133752,4.8864479559,8.0103135799,14.4888880399,31.3747951985,41.3026176065,47.3836341057,53.6022666619,59.282422369,60.8651893266,61.720982026,62.7235047287,69.0049961765,69.8286496606,72.1803233315,79.8260928681,83.0063849077,86.18173386
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,,,,0.0131662276,0.0300464776,0.0840932914,0.2062168184,0.3038089746,0.4979016433,0.9802164867,1.4487994282,1.7147295843,1.8804125324,2.3206646086,2.5663511766,2.8055730627,3.9,5.3,7.3,10,10.6
Niger,0,,,,,,0.0010393045,0.0020087661,0.0029115028,0.0281360223,0.0362612938,0.1051854314,0.1271524688,0.1556987037,0.1899337337,0.2213413515,0.2940339771,0.3903906198,0.7,0.76,0.83,1.3
Nigeria,0,,,,,,0.0088329804,0.0172374007,0.025231461,0.0410387229,0.0640808079,0.0899013705,0.3204619755,0.5585762449,1.2861376413,3.549155718,5.545036083,6.77,15.86,20,24,28.43
Niue,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,,,,,,,,,,,,,,,,,,,,,
Norway,0.7073014493,1.4077914461,2.2159620009,2.78229798,4.1498821881,6.4230908254,18.2661520398,20.4500251276,22.5997400651,40.0336268323,51.9987494898,64.0028641367,72.7989105626,78.0239691732,77.6077065404,81.9901241388,82.6939101551,87.1674483458,90.7741343359,92.1806091627,93.2727002597,93.4547589984
Oman,0,,,,,,0,0.4397928048,0.8627253061,2.5156659866,3.5204214165,5.8938415215,6.8733960392,7.2557429454,6.7588521702,6.6835814202,8.2997166725,16.68,20,51.5,62,68
Pakistan,0,,,,,0.0001227019,0.0029917305,0.0275492379,0.0439477193,0.0553572379,,1.3185507793,2.5774267368,5.0411581259,6.1643209853,6.3323290983,6.5,6.8,7,7.5,8,9
Palau,0,,,,,,,,,,,,20.2439394706,21.6015271777,26.9703326341,,,,,,,
Panama,0,,,,0.0076368991,0.0561230427,0.219998526,0.5390655407,2.7506480714,3.8368645085,6.5547964773,7.2683998779,8.5180778152,9.9874240772,11.1408625409,11.4840092783,17.3495661696,22.29,33.82,39.08,40.1,42.7
Papua New Guinea,0,,,,,,0.0020670228,0.100588321,0.2349585416,0.6671133149,0.8352493024,0.9041035452,1.3216569349,1.374404668,1.5079127723,1.7161904756,1.7544872607,1.7905593614,1.15,1.61,1.28,2
Paraguay,0,,,,,,0.0203596118,0.0995767193,0.1949049507,0.3816573202,0.7476307115,1.0987938357,1.7949695977,2.1119420821,3.4524384314,7.9070078614,7.9620738839,11.21,14.27,18.9,19.8,23.9
Peru,0,,,,0.0085045783,0.0334123047,0.24623258,0.4034297011,1.1903804404,1.9524976076,3.0764306114,7.5787629572,8.9669491704,11.6,14.1,17.1,20.7,25.2,30.57,31.4,34.77,36.5
Philippines,0,,,,0.0058442535,0.0285857018,0.0559460285,0.1369129629,1.1034059944,1.4316088034,1.9822531961,2.5240056601,4.3322757464,4.8576722671,5.2436284522,5.3976363294,5.7405863253,5.97,6.22,9,25,29
Pitcairn,,,,,,,,,,,,,,,,,,,,,,
Poland,0,0.0052177805,0.0519696312,0.1294713445,0.3873000572,0.6443416261,1.2876409235,2.0594878865,4.0707532411,5.4106833159,7.2567610261,9.9055190793,21.1500735789,24.8658214284,32.5239612566,38.8095881602,44.6139692056,48.6882258078,53.2591858974,59.1208965757,62.4717487624,65.0208240297
Portugal,0,0.1000139277,0.2507308325,0.4522170229,0.7241851839,1.5084232071,3.0138293005,5.0119803111,9.9903461798,14.91874677,16.607810651,18.2395883092,19.4724750494,29.7402828119,31.7929607816,34.9708920952,37.9858889979,39.6188832951,41.9481188314,46.6079921414,51.283631199,55.5737862085
Puerto Rico,0,,,,0.0274007256,0.1357819467,0.2687103333,1.3322571925,2.6504048915,5.2702456835,10.4849507676,15.6237155025,17.4978366188,19.5905428247,21.9311966965,23.1589321284,25.2276775556,27.7304504605,37.9809538548,41.6460773017,45.6289928903,48.5029090644
Qatar,0,,,,,0.1902095348,0.9301858325,3.083749186,3.5200298499,4.0707289149,4.8636791788,6.1702685609,10.2261289281,19.242336421,20.7016478512,24.7334937811,28.9741127136,37,44.3,53.1,81.6,86.2
Reunion,,,,,,,,,,,,,,,,,,,,,,
Romania,0,,,0.0037334258,0.0263927077,0.0749417989,0.2211168825,0.4436963124,2.224248934,2.6748503347,3.5732554563,4.5321142813,6.642667618,8.9750306147,15.1109348491,21.6365247457,24.7942327577,28.4287318072,32.5344108249,36.696810986,40.0200930129,44.1156853623
Russia,0,,0.0006734763,0.0134857687,0.0540098949,0.1487086621,0.271063844,0.4756456612,0.8174484086,1.0257940839,1.9833727356,2.9486479084,4.1345210831,8.3149890624,12.9002787311,15.3004035893,18.1510288555,24.867298971,27.0592882917,29.2358414629,43.3145508174,49.312634362
Rwanda,0,,,,,,0.0008833716,0.001625791,0.0117635728,0.0671764824,0.0628314595,0.2406724098,0.2927847188,0.3569184673,0.4308542434,0.5560411648,,2.1153871783,4.5,7.7,8,7
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,0,,,,,,2.0809552054,2.4560314816,3.7402683904,4.7356273725,6.1007064153,7.8124342678,21.4227301185,23.566280725,24.7376775444,34,49,52,60,69,76,
St. Lucia,0,,,,,0.3090823649,0.6794017513,1.0015355679,1.3154665351,1.9509739492,5.1267702813,8.2317126098,14.7667854267,21.1699336141,21.5528768246,21.691610001,24.5905569546,27.9754107807,32.0550457638,36.0183790683,40.0613793103,42.0105
St. Martin,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,0,,,,,0.1286346221,0.4832483174,0.9263719569,1.8539976825,2.7820022998,3.2450374106,5.0948097783,5.5495948796,6.4622741666,7.371165842,9.1982780823,12,16,21,31,38.5,43.01
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,
Samoa,0,,,,,,,0.1745718625,0.2303590145,0.2853083327,0.5663925327,1.6899028306,2.2448326758,2.7996304488,3.0755294104,3.3525921125,4.4691738732,4.7499832354,5.0316153162,6,7,
San Marino,0,,,,,1.3621327106,1.4280751862,1.4185484799,1.4085579412,42.8033157498,48.7994953056,50.3416690899,50.8348399447,50.0034530387,50.5663430421,50.2595641967,50.2086593636,50.3648221089,54.52,54.21,,49.6
Sao Tome and Principe,0,,,,,,,,0.2958470471,0.3632031613,4.6385168164,6.3109178879,7.5806651689,10.161844307,13.3228526892,13.7594842159,14.1820197775,14.5904831987,15.48,16.41,18.75,20.1612
Saudi Arabia,0,,,,,0.0109561336,0.0267326514,0.0520990309,0.1014298927,0.4935853402,2.2106918091,4.6810531658,6.3847050196,8.0015828909,10.234532997,12.7050359883,19.4595543514,30,36,38,41,47.5
Senegal,0,,,,,0.0006928482,0.0112382191,0.0273474415,0.0798713794,0.3110909524,0.4039674859,0.9837940588,1.0064545367,2.1014364299,4.3860239801,4.7866840831,5.6117386522,7.7,10.6,14.5,16,17.5
Serbia,,,,,,,,,,,,,,,31.1589653011,28.7078378055,29.730587518,36.3657603407,39.258717527,42.2383228242,45.5588153692,47.1929614929
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,
Seychelles,0,,,,,,0.6436054775,1.2649690937,2.4670007665,6.0276427588,7.172660047,10.802402733,13.7812226501,14.3915930256,24.31068044,25.6011853161,34.8243097157,38.3538214576,39.794492847,,40.9966830396,43.6051807381
Sierra Leone,0,,,0,0,0,0.0025061162,0.0049878347,0.0148050654,0.0484906556,0.1182542457,0.1602644455,0.1761989568,0.1901732817,0.2030076806,0.2153916103,0.2276694672,0.2398346985,0.25,0.26,,
Singapore,0,0.1596687634,0.4655308765,0.7572705056,1.1735860962,2.8385039735,8.1357608678,13.0269185342,18.7629933937,23.4597820702,35.0293701433,40.0889630559,45.3817526341,53.4617789863,61.9026558188,61.0028456561,59.1146782842,67.945079545,68.0420928214,68.4195815623,71.1359107294,75.0612448637
Slovak Republic,0,,,0.1280744102,0.3189527069,0.5238829599,0.784375534,1.1748204691,2.6928196894,5.4431293666,9.4550116066,12.593953338,40.3571970026,43.2766172845,53.1739928467,55.4819321994,56.3994684432,62.1853656205,66.4736434886,70.4311933547,76.156443831,74.8710678088
Slovenia,0,,,0.40166011,1.0555777608,2.8645058577,5.0285543178,7.5529265675,10.0925280862,12.6066967183,15.0835250198,30.1202412277,27.7940675106,31.8339313966,40.8293524476,46.8476731215,54.0109419404,56.5775782138,57.9097855061,63.5095988614,69.3540852384,71.4039298246
Solomon Islands,0,,,,,0.0248719097,0.2686835848,0.3919232458,0.508292797,0.4945414982,0.4812968061,0.4685519636,0.5019198434,0.5556098819,0.6496726733,0.8443075728,1.6463479886,2,3,4,5,6
Somalia,0,,,,,0,0.0015095504,0.002948713,0.00716442,0.013910394,0.02,0.0790391787,0.1156142134,0.3761980025,1.0534547436,1.0773278391,1.1002163681,1.1222356216,1.1426873722,1.1606105425,,1.25
Somaliland,,,,,,,,,,,,,,,,,,,,,,
South Africa,0,0.0139334131,0.0409360281,0.1202298178,0.2614736249,0.71622353,0.8876704101,1.709750005,3.0183465066,4.2326553299,5.4409901377,6.4144299003,6.7813722896,7.0859294655,8.5265670699,7.5828374449,7.7027598281,8.1631779517,8.5209362538,10.0874597908,18.0509549862,20.9473704353
South Ossetia,,,,,,,,,,,,,,,,,,,,,,
Spain,0.0128863958,0.025712694,0.0768820193,0.1277351273,0.2802380156,0.3811856858,1.3332414543,2.8051779332,4.3633117263,7.0890575712,13.6335022935,18.1694588749,20.4150485149,39.9635356879,44.0516506367,47.8770189563,50.257475851,54.7728473172,59.0643109813,62.0323561031,65.8085950956,67.9215075592
Sri Lanka,0,,,,0.0027961647,0.0055127102,0.0544781503,0.161241838,0.2920297644,0.3402619004,0.6353133199,0.799092078,1.0622529937,1.4735557614,1.4592266888,1.8101584719,2.5636433331,3.9251661121,5.8736723648,8.8740863941,12.1202434513,15.1267866213
Sudan,0,,,,0,0,0,0.001231819,0.004805071,0.0087945808,0.0257850325,0.1401852245,0.4394776391,0.5384717032,0.7915616154,1.292040678,8.0920337342,8.66,10.16,,,
Suriname,0,,,,,0.1147207353,0.2263062965,1.0030869364,1.6701484356,1.8918713571,2.5064110523,3.0644483887,4.161568745,4.7198753953,6.0760478144,6.4030862876,9.4996269417,14.11,21.06,31.36,31.59,32
Svalbard,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0,,,,,0.00103175,0.050399009,0.0885459864,0.0980599308,0.4887682465,0.9747973122,1.3613286252,1.9404696194,2.6146948218,3.4809599552,4.0148468557,4.0551991119,4.5537884447,7.6373921126,10.0095009243,12.4054796846,20.4316581333
Sweden,0.5841916569,1.160432455,1.4997013399,1.7203670026,3.4163979071,5.0980300192,9.0501699502,23.7490627602,33.473849656,41.4075854245,45.6260838106,51.6554645584,70.3871338857,78.9282757742,83.7448032202,84.8278674061,87.8585988687,82.1290692901,90.168244151,91.1232610799,90.0149806049,90.882045594
Switzerland,0.592007952,1.169566424,1.7362575312,2.152589367,2.7073384759,3.5409158389,4.5426526244,15.1033591502,24.8102792672,33.965490718,46.9928617183,54.9333477135,61.1490142494,64.8168296748,67.5394843175,69.8916166686,75.5423678242,76.8983613418,78.4287717247,80.0126519161,82.1650535327,82.9877308714
Syria,0,0,0,0,0,0,0,0.0326078138,0.0636872863,0.1242954622,0.1816985801,0.35375913,2.0931010186,3.3979726136,4.3215937779,5.6481060488,7.8573802687,,14.0402673908,17.3134950987,20.6635508216,22.4413474179
Taiwan,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0,,,,,,,,,0.0327918578,0.0485995946,0.0512591325,0.055462827,0.0645837772,0.0774799071,0.2986900237,3.7724062067,7.197619518,8.78,10.07,11.55,13.03
Tanzania,0,,,,,,0.0016221545,0.007900283,0.0092441251,0.0751308885,0.1171944401,0.1713003507,0.2224844139,0.6769628565,0.877574971,4.3,5.8,7.2,9,10,11,12
Thailand,0,5.2233428266E-005,0.000343725,0.0135809657,0.0386143207,0.0748253377,0.1154721363,0.3605221849,1.0912189853,2.4262424322,3.6890412794,5.556326121,7.5312503349,9.2990272381,10.6773033237,15.0260043589,17.1607147169,20.03,18.2,20.1,22.4,23.7
Timor-Leste,0,,,,,,,,,,,,0,,,0.1017758984,0.1194028053,0.1429450666,0.1641562502,0.1835519776,0.2066644522,0.8831263394
Togo,0,0,0,0,0,0,0.0109291385,0.2111394648,0.3055839352,0.5903632643,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5
Tokelau,,,,,,,,,,,,,,,,,,,,,,
Tonga,0,,,,,0.12323112,0.1637934565,0.5108661224,0.7651343576,1.0179671197,2.4343980444,2.8253718391,2.9072973163,2.9858173675,3.9523738946,4.9077827619,5.8539440948,7.179865329,8.1107699438,10,16,25
Transnistria,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0,,,,,0.1581498992,0.3930805249,1.1731746576,2.7248253387,5.8142509617,7.721411474,15.3846272189,21.9986754804,25.9717641092,27.0242700783,28.9767124327,30.0037485792,32.3,34.8,44.3,48.5,55.2
Tunisia,0,,,,0.0073739096,0.0111644952,0.0275063297,0.0434100035,0.1071541342,1.5866572504,2.7198538241,4.2414748125,5.1735615498,6.4132575026,8.4271569987,9.5425584292,12.8452749507,16.9415744394,27.312575129,33.8268307435,36.5622063683,38.8078874159
Turkey,0,,,0.0084577316,0.0498691815,0.0816912053,0.1927249356,0.4736954321,0.6988051286,2.2921176854,3.7616850351,5.1894814608,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,42.1
Turkmenistan,0,,,,,,,,,0.0450207703,0.1332821826,0.1752095177,0.3021320162,0.4251826319,0.7540539827,0.9972565585,1.3195731181,1.4063606881,1.75,1.95,3,5
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,0,,,,,,,,,,5.2416395849,,,,,,,10,15,20,25,30
Uganda,0,,,,,0.0028634713,0.0046259481,0.010319341,0.0652894652,0.1055439403,0.1637140631,0.2379450872,0.384093505,0.4648498401,0.7199706799,1.7422055032,2.5293630383,3.6719653507,7.9,9.78,12.5,13.01354333
Ukraine,0,,,0.0007675515,0.0134984233,0.0427573131,0.0980322976,0.1978344698,0.2993717064,0.4028780225,0.7120468524,1.2327647738,1.8672711893,3.1369559473,3.4765095214,3.7353383157,4.4872523454,6.5180041196,10.9365998677,17.7685134181,23.0854568537,30.2545942008
United Arab Emirates,0,,,,,0.1029391746,0.3753935343,3.295592694,6.9083029857,14.9426989907,23.6253008752,26.271754201,28.316485311,29.4779534121,30.1312961695,40,52,61,63,64,68,70
United Kingdom,0.087304793,0.1740632357,0.2603664815,0.5194290373,1.0361228175,1.8944555424,4.1229358015,7.3856290658,13.6701899435,21.2896275527,26.8133757,33.4749597661,56.4934826608,64.8614473597,65.6362164417,69.9749171045,68.754708281,74.9785124953,78.2326888862,77.7997196196,77.7546292755,81.7073377181
United States,0.7964106278,1.1761891025,1.7360455777,2.2794016186,4.8691191816,9.2386742036,16.4193305308,21.6153179962,30.1076044584,35.8821309347,43.1301406869,49.1800068549,58.9575170073,61.9486817822,65.0364425615,68.2678998508,69.2048477392,75.2622629169,74.21781837,71.2118162667,74.2474066363,78.2362191948
Uruguay,0,,,,0.0624743855,0.3101285824,1.8537158844,3.3767902543,7.022250618,10.0287751668,10.5972266879,11.1767483536,11.4776364542,16.0316171236,17.164570518,20.1903161165,29.5151796398,34.1188806182,39.4404475695,41.9556188485,46.5686752961,51.5741462539
USSR,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0,,,,,0.0015360983,0.0043076669,0.0105746544,0.0208203886,0.0308874551,0.4868075163,0.5994383441,1.0820779401,1.9067448181,2.5780602194,3.315452107,6.3221261093,7.3890775474,8.9169127786,16.665455319,19.2173640871,28.572794003
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,0,,,,,,0.0568456357,0.1395058146,0.2741859419,0.5383000484,2.1083368912,2.8305722388,3.5100387107,3.9032958454,4.7466026192,5.0823338077,5.8505850585,6.8,7.2691199234,7.5,8,
Venezuela,0,,0.0120682342,0.0415529571,0.0554527338,0.1221699885,0.2482302177,0.3910141668,1.3846606033,2.8421118341,3.3647525969,4.64455429,4.920831084,7.5181898896,8.4279501242,12.5941478622,15.2797510255,20.9136951719,25.9934745588,32.8565795906,37.5590364185,40.4382729701
West Bank and Gaza,0,,,,,,,,,,1.1832230687,1.9398781655,3.2308508747,4.2357933994,4.4403770195,15.9194119084,18.0940776526,20.6017172924,23.672733187,32.3191708614,43.4392450998,56.8190326845
West Germany,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Vietnam,0,,,,,,0.0001384261,0.0040786464,0.0133496302,0.1311050435,0.2579396638,1.2818890355,1.8774332227,3.8229680654,7.7198572922,12.8586248555,17.4124960588,20.9492320936,24.1531271481,26.8204143348,30.9746471982,35.4500831025
Virgin Islands (U.S.),0,,,,0.9313805617,2.7811931525,4.6236687802,6.9193840498,9.2108919054,11.0460515651,13.7988034194,18.3723864642,27.4969565856,27.4225391457,27.3562293697,27.2854390317,27.2424671832,27.232535721,27.2359698459,27.2485606983,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,
Yemen,0,,,,,,0.0006210807,0.0150252954,0.0233232425,0.0566286752,0.0825003865,0.0908024587,0.5187960321,0.6047341004,0.8812229887,1.0485979342,1.247824049,5.01,6.89,9.96,12.35,14.905
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
Zambia,0,,,,0.0067761053,0.008783623,0.009069176,0.0093296579,0.0302261825,0.1470531721,0.1910716425,0.2331295563,0.4777509069,0.9804830394,2.0135495322,2.8517522613,4.1599133939,4.87,5.55,6.31,10.1254493804,11.5
Zimbabwe,0,,,,0.0017392796,0.0076835399,0.0167904839,0.0330803267,0.0816484762,0.1616755276,0.4014335352,0.7998460456,3.9943561346,6.3947864585,6.5640450271,8.0159780888,9.7918415019,10.85,11.4,11.36,11.5,15.7
Åland,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,
